TITLE:       Long-term 30-day estimates of C20 from up to 8 SLR satellites                          
                                                                                                    
DESCRIPTION: Estimates of C20 and its variations relative to a reference value of -4.8416945732D-04.     
             Each estimate is based on 30-days of laser ranging from up to 8 satellites
             The epoch of each estimate is the mid-point of the 30-day span used.                   
             No de-aliasing or rate model has been applied. The series spans January                
             1976 to Present. The variations and the sigmas have been scaled                        
             by 1E10. The background model is described in the reference given below.               
             Both normalized and unnormalized values are provided for convenience.                  
                                                                                                    
CONTACT:     J. C. Ries                                                                             
             Center for Space Research                                                              
             The University of Texas at Austin                                                      
             Email: ries@csr.utexas.edu                                                             
                                                                                                    
REFERENCE:   Cheng, M., B. D. Tapley, and J. C. Ries (2013), "Deceleration in the Earth's           
             oblateness", J. Geophys. Res., doi:10.1002/jgrb.50058.                                 
                                                                                                    
   Year               C20         delta_C20  C20_sigma  delta_J2  J2_sigma  
  1981.70639   -4.8416991089E-04    -4.536    0.8997   10.5893    2.0118
  1981.78853   -4.8416979195E-04    -3.346    1.1163    7.9297    2.4961
  1981.87066   -4.8416958812E-04    -1.308    1.8478    3.3721    4.1318
  1981.95280   -4.8416960401E-04    -1.467    2.7171    3.7273    6.0756
  1982.03494   -4.8416946849E-04    -0.112    2.0298    0.6970    4.5388
  1982.11776   -4.8416944987E-04     0.074    2.7351    0.2807    6.1159
  1982.19989   -4.8416949008E-04    -0.328    3.1890    1.1797    7.1308
  1982.28203   -4.8416964760E-04    -1.903    2.2403    4.7021    5.0095
  1982.36416   -4.8416963962E-04    -1.823    1.4340    4.5235    3.2065
  1982.44630   -4.8416957115E-04    -1.138    0.8790    2.9925    1.9655
  1982.52843   -4.8416963156E-04    -1.742    1.3504    4.3434    3.0196
  1982.61057   -4.8416989518E-04    -4.379    1.4180   10.2380    3.1707
  1982.69270   -4.8416986245E-04    -4.051    1.3831    9.5062    3.0927
  1982.77484   -4.8416965106E-04    -1.937    1.1681    4.7794    2.6120
  1982.85698   -4.8416961261E-04    -1.553    1.4106    3.9197    3.1542
  1982.93911   -4.8416955278E-04    -0.955    1.7931    2.5818    4.0095
  1983.02125   -4.8416954273E-04    -0.854    1.6909    2.3571    3.7810
  1983.10407   -4.8416947819E-04    -0.209    1.5691    0.9139    3.5086
  1983.18620   -4.8416949676E-04    -0.394    2.7321    1.3291    6.1092
  1983.26834   -4.8416952615E-04    -0.688    1.6018    1.9863    3.5817
  1983.35047   -4.8416961853E-04    -1.612    1.5209    4.0521    3.4008
  1983.43261   -4.8416949879E-04    -0.415    0.8755    1.3746    1.9577
  1983.51474   -4.8416966323E-04    -2.059    0.7232    5.0515    1.6171
  1983.59688   -4.8416980663E-04    -3.493    0.8528    8.2581    1.9069
  1983.67901   -4.8416966353E-04    -2.062    0.8516    5.0583    1.9042
  1983.76115   -4.8416972806E-04    -2.707    0.9258    6.5012    2.0702
  1983.84329   -4.8416978169E-04    -3.244    0.7432    7.7004    1.6618
  1983.92542   -4.8416954317E-04    -0.858    0.9951    2.3668    2.2251
  1984.00756   -4.8416954001E-04    -0.827    1.2803    2.2962    2.8628
  1984.09038   -4.8416934525E-04     1.121    1.2545   -2.0588    2.8051
  1984.17251   -4.8416941470E-04     0.426    2.1316   -0.5057    4.7664
  1984.25465   -4.8416948868E-04    -0.314    1.0995    1.1485    2.4586
  1984.33678   -4.8416944544E-04     0.119    1.0293    0.1816    2.3016
  1984.41892   -4.8416960851E-04    -1.512    0.7478    3.8279    1.6721
  1984.50105   -4.8416958532E-04    -1.280    0.8939    3.3094    1.9988
  1984.58319   -4.8416973597E-04    -2.786    0.9840    6.6780    2.2003
  1984.66533   -4.8416970758E-04    -2.503    0.7502    6.0431    1.6775
  1984.74746   -4.8416964090E-04    -1.836    0.9730    4.5522    2.1757
  1984.82960   -4.8416959837E-04    -1.411    0.8834    3.6012    1.9753
  1984.91173   -4.8416953597E-04    -0.786    1.0073    2.2058    2.2524
  1984.99387   -4.8416932902E-04     1.283    1.0306   -2.4216    2.3045
  1985.07395   -4.8416946091E-04    -0.036    1.5955    0.5276    3.5676
  1985.15609   -4.8416928468E-04     1.726    1.3212   -3.4131    2.9543
  1985.23822   -4.8416946730E-04    -0.100    0.8993    0.6703    2.0109
  1985.32036   -4.8416946100E-04    -0.037    1.0527    0.5295    2.3539
  1985.40249   -4.8416943521E-04     0.221    0.6965   -0.0472    1.5574
  1985.48463   -4.8416954792E-04    -0.906    0.9213    2.4731    2.0601
  1985.56676   -4.8416976796E-04    -3.106    1.4817    7.3933    3.3132
  1985.64890   -4.8416970730E-04    -2.500    0.7490    6.0370    1.6748
  1985.73103   -4.8416970130E-04    -2.440    0.8476    5.9028    1.8953
  1985.81317   -4.8416957856E-04    -1.212    0.8777    3.1582    1.9626
  1985.89531   -4.8416951704E-04    -0.597    1.1743    1.7827    2.6258
  1985.97744   -4.8416942459E-04     0.327    0.8752   -0.2846    1.9570
  1986.06026   -4.8416946023E-04    -0.029    0.7836    0.5124    1.7522
  1986.14240   -4.8416928127E-04     1.761    1.0132   -3.4894    2.2656
  1986.22453   -4.8416942579E-04     0.315    1.0880   -0.2579    2.4328
  1986.30667   -4.8416946618E-04    -0.089    0.7538    0.6453    1.6855
  1986.38880   -4.8416949086E-04    -0.335    0.7827    1.1973    1.7502
  1986.47094   -4.8416955999E-04    -1.027    1.0234    2.7430    2.2884
  1986.55307   -4.8416968767E-04    -2.303    1.0134    5.5980    2.2660
  1986.63521   -4.8416964823E-04    -1.909    0.9323    4.7161    2.0847
  1986.71735   -4.8416961638E-04    -1.591    0.6859    4.0039    1.5337
  1986.79948   -4.8416968485E-04    -2.275    0.6389    5.5350    1.4286
  1986.88162   -4.8416956656E-04    -1.092    0.6275    2.8899    1.4031
  1986.96375   -4.8416943685E-04     0.205    0.7723   -0.0105    1.7269
  1987.04657   -4.8416934794E-04     1.094    0.8913   -1.9985    1.9930
  1987.12871   -4.8416948354E-04    -0.262    0.5956    1.0335    1.3318
  1987.21084   -4.8416931862E-04     1.387    0.5862   -2.6543    1.3108
  1987.29298   -4.8416944760E-04     0.097    0.6128    0.2299    1.3703
  1987.37511   -4.8416951672E-04    -0.594    0.8348    1.7754    1.8667
  1987.45725   -4.8416951437E-04    -0.570    0.7364    1.7228    1.6466
  1987.53939   -4.8416948899E-04    -0.317    0.7585    1.1553    1.6961
  1987.62152   -4.8416963275E-04    -1.754    0.6152    4.3700    1.3756
  1987.70366   -4.8416956407E-04    -1.068    0.8067    2.8343    1.8038
  1987.78579   -4.8416950955E-04    -0.522    0.8159    1.6152    1.8244
  1987.86793   -4.8416957661E-04    -1.193    0.7777    3.1147    1.7390
  1987.95006   -4.8416946808E-04    -0.108    0.8883    0.6878    1.9863
  1988.03220   -4.8416936106E-04     0.963    0.7215   -1.7052    1.6133
  1988.11502   -4.8416938062E-04     0.767    0.5775   -1.2678    1.2913
  1988.19715   -4.8416941094E-04     0.464    0.7587   -0.5898    1.6965
  1988.27929   -4.8416943231E-04     0.250    0.6443   -0.1121    1.4407
  1988.36143   -4.8416937229E-04     0.850    0.7531   -1.4540    1.6840
  1988.44356   -4.8416948875E-04    -0.314    0.7576    1.1500    1.6940
  1988.52570   -4.8416956397E-04    -1.067    0.6005    2.8320    1.3428
  1988.60783   -4.8416969000E-04    -2.327    0.5111    5.6502    1.1429
  1988.68997   -4.8416959013E-04    -1.328    0.6763    3.4170    1.5123
  1988.77210   -4.8416956255E-04    -1.052    0.5890    2.8003    1.3170
  1988.85424   -4.8416960057E-04    -1.432    0.5567    3.6503    1.2448
  1988.93637   -4.8416949462E-04    -0.373    0.6949    1.2812    1.5538
  1989.01851   -4.8416945562E-04     0.017    0.8891    0.4093    1.9881
  1989.09859   -4.8416937204E-04     0.853    0.6536   -1.4598    1.4615
  1989.18073   -4.8416941078E-04     0.465    0.8692   -0.5934    1.9436
  1989.26286   -4.8416940807E-04     0.493    0.7559   -0.6541    1.6902
  1989.34500   -4.8416954761E-04    -0.903    0.6770    2.4661    1.5138
  1989.42713   -4.8416956213E-04    -1.048    0.7007    2.7909    1.5668
  1989.50927   -4.8416966539E-04    -2.081    0.6173    5.0997    1.3803
  1989.59140   -4.8416970427E-04    -2.470    0.7276    5.9692    1.6270
  1989.67354   -4.8416961678E-04    -1.595    0.7302    4.0129    1.6328
  1989.75568   -4.8416967278E-04    -2.155    0.6974    5.2651    1.5594
  1989.83781   -4.8416966627E-04    -2.090    0.5837    5.1195    1.3052
  1989.91995   -4.8416947783E-04    -0.205    0.7137    0.9058    1.5959
  1990.00208   -4.8416944043E-04     0.169    0.7411    0.0696    1.6571
  1990.08490   -4.8416950577E-04    -0.485    0.7174    1.5307    1.6042
  1990.16704   -4.8416953265E-04    -0.753    0.8888    2.1317    1.9874
  1990.24917   -4.8416937455E-04     0.828    0.6468   -1.4035    1.4463
  1990.33131   -4.8416931987E-04     1.374    0.6552   -2.6262    1.4651
  1990.41344   -4.8416952052E-04    -0.632    0.7134    1.8605    1.5952
  1990.49558   -4.8416949760E-04    -0.403    0.5655    1.3478    1.2645
  1990.57771   -4.8416964204E-04    -1.847    0.5753    4.5776    1.2864
  1990.65985   -4.8416974363E-04    -2.863    0.5193    6.8494    1.1612
  1990.74199   -4.8416972105E-04    -2.637    0.6426    6.3443    1.4369
  1990.82412   -4.8416957323E-04    -1.159    0.6291    3.0391    1.4067
  1990.90626   -4.8416953165E-04    -0.743    0.5881    2.1093    1.3150
  1990.98839   -4.8416938284E-04     0.745    0.6083   -1.2183    1.3602
  1991.07121   -4.8416940302E-04     0.543    0.5458   -0.7670    1.2204
  1991.15335   -4.8416942483E-04     0.325    0.7360   -0.2793    1.6457
  1991.23548   -4.8416942610E-04     0.312    0.7354   -0.2508    1.6444
  1991.31762   -4.8416940497E-04     0.524    0.8046   -0.7234    1.7991
  1991.39975   -4.8416935160E-04     1.057    0.7731   -1.9168    1.7287
  1991.48189   -4.8416945888E-04    -0.016    0.6828    0.4821    1.5268
  1991.56403   -4.8416964134E-04    -1.840    0.8072    4.5620    1.8050
  1991.64616   -4.8416967902E-04    -2.217    0.6626    5.4046    1.4816
  1991.72830   -4.8416956754E-04    -1.102    0.6252    2.9119    1.3980
  1991.81043   -4.8416957883E-04    -1.215    0.6563    3.1642    1.4675
  1991.89257   -4.8416946672E-04    -0.094    0.8641    0.6575    1.9322
  1991.97470   -4.8416944558E-04     0.117    0.8510    0.1846    1.9029
  1992.05752   -4.8416939079E-04     0.665    0.5476   -1.0404    1.2245
  1992.13966   -4.8416936417E-04     0.932    0.6030   -1.6357    1.3483
  1992.22179   -4.8416942418E-04     0.331    0.5321   -0.2937    1.1898
  1992.30393   -4.8416939249E-04     0.648    0.4244   -1.0025    0.9490
  1992.38606   -4.8416932091E-04     1.364    0.4549   -2.6029    1.0172
  1992.46820   -4.8416937744E-04     0.799    0.5110   -1.3389    1.1426
  1992.55034   -4.8416966911E-04    -2.118    0.6527    5.1829    1.4595
  1992.63247   -4.8416961704E-04    -1.597    0.4510    4.0186    1.0085
  1992.71461   -4.8416953428E-04    -0.770    0.3982    2.1680    0.8904
  1992.79674   -4.8416961390E-04    -1.566    0.4259    3.9485    0.9523
  1992.87888   -4.8416952370E-04    -0.664    0.4653    1.9316    1.0404
  1992.96101   -4.8416948251E-04    -0.252    0.5505    1.0106    1.2310
  1993.04110   -4.8416940522E-04     0.521    0.6103   -0.7178    1.3647
  1993.12323   -4.8416933191E-04     1.254    0.5235   -2.3571    1.1706
  1993.20537   -4.8416940614E-04     0.512    0.4439   -0.6972    0.9926
  1993.28750   -4.8416942712E-04     0.302    0.4653   -0.2281    1.0404
  1993.36964   -4.8416941522E-04     0.421    0.4634   -0.4941    1.0362
  1993.45177   -4.8416947771E-04    -0.204    0.4805    0.9032    1.0744
  1993.53391   -4.8416965566E-04    -1.983    0.4053    4.8822    0.9063
  1993.61604   -4.8416960511E-04    -1.478    0.4120    3.7519    0.9213
  1993.69818   -4.8416962480E-04    -1.675    0.3845    4.1923    0.8598
  1993.78032   -4.8416958388E-04    -1.266    0.3793    3.2771    0.8481
  1993.86245   -4.8416937937E-04     0.780    0.3136   -1.2958    0.7012
  1993.94459   -4.8416946137E-04    -0.041    0.3273    0.5378    0.7319
  1994.02672   -4.8416934820E-04     1.091    0.3314   -1.9927    0.7410
  1994.10954   -4.8416932249E-04     1.348    0.4045   -2.5676    0.9045
  1994.19168   -4.8416941055E-04     0.468    0.4007   -0.5985    0.8960
  1994.27381   -4.8416943283E-04     0.245    0.3203   -0.1004    0.7162
  1994.35595   -4.8416940218E-04     0.551    0.2999   -0.7858    0.6706
  1994.43808   -4.8416937585E-04     0.815    0.2675   -1.3744    0.5981
  1994.52022   -4.8416958367E-04    -1.264    0.3012    3.2725    0.6735
  1994.60235   -4.8416959603E-04    -1.387    0.2893    3.5488    0.6469
  1994.68449   -4.8416961321E-04    -1.559    0.2979    3.9330    0.6661
  1994.76663   -4.8416948464E-04    -0.273    0.2983    1.0582    0.6670
  1994.84876   -4.8416953322E-04    -0.759    0.3182    2.1445    0.7115
  1994.93090   -4.8416941146E-04     0.459    0.2555   -0.5782    0.5713
  1995.01303   -4.8416946575E-04    -0.084    0.3609    0.6358    0.8070
  1995.09585   -4.8416937310E-04     0.842    0.3345   -1.4361    0.7480
  1995.17799   -4.8416939765E-04     0.597    0.2993   -0.8870    0.6693
  1995.26012   -4.8416932689E-04     1.304    0.3028   -2.4693    0.6771
  1995.34226   -4.8416935492E-04     1.024    0.2986   -1.8426    0.6677
  1995.42440   -4.8416938188E-04     0.754    0.3277   -1.2396    0.7328
  1995.50653   -4.8416944729E-04     0.100    0.2912    0.2230    0.6511
  1995.58867   -4.8416947938E-04    -0.221    0.2658    0.9406    0.5943
  1995.67080   -4.8416959545E-04    -1.381    0.2989    3.5359    0.6684
  1995.75294   -4.8416962256E-04    -1.652    0.2794    4.1422    0.6248
  1995.83507   -4.8416946973E-04    -0.124    0.2401    0.7247    0.5369
  1995.91721   -4.8416936390E-04     0.934    0.2774   -1.6417    0.6203
  1995.99934   -4.8416936373E-04     0.936    0.3200   -1.6454    0.7155
  1996.08216   -4.8416923560E-04     2.217    0.3304   -4.5105    0.7388
  1996.16430   -4.8416932972E-04     1.276    0.3235   -2.4061    0.7234
  1996.24644   -4.8416922726E-04     2.301    0.3024   -4.6971    0.6762
  1996.32857   -4.8416940622E-04     0.511    0.2872   -0.6953    0.6422
  1996.41071   -4.8416944871E-04     0.086    0.2578    0.2548    0.5765
  1996.49284   -4.8416945036E-04     0.070    0.3318    0.2915    0.7419
  1996.57498   -4.8416953578E-04    -0.785    0.3180    2.2017    0.7111
  1996.65711   -4.8416948532E-04    -0.280    0.3011    1.0733    0.6733
  1996.73925   -4.8416956336E-04    -1.060    0.3123    2.8183    0.6983
  1996.82138   -4.8416956112E-04    -1.038    0.2987    2.7683    0.6679
  1996.90352   -4.8416934409E-04     1.132    0.3388   -2.0847    0.7576
  1996.98565   -4.8416930976E-04     1.476    0.3686   -2.8524    0.8242
  1997.06574   -4.8416930421E-04     1.531    0.3248   -2.9765    0.7263
  1997.14787   -4.8416938946E-04     0.679    0.3259   -1.0702    0.7287
  1997.23001   -4.8416941679E-04     0.405    0.2866   -0.4590    0.6409
  1997.31214   -4.8416931035E-04     1.470    0.2643   -2.8391    0.5910
  1997.39428   -4.8416935523E-04     1.021    0.2995   -1.8355    0.6697
  1997.47641   -4.8416944179E-04     0.155    0.2852    0.1000    0.6377
  1997.55855   -4.8416960584E-04    -1.485    0.2799    3.7683    0.6259
  1997.64069   -4.8416953246E-04    -0.751    0.2691    2.1274    0.6017
  1997.72282   -4.8416950313E-04    -0.458    0.2701    1.4715    0.6040
  1997.80496   -4.8416946400E-04    -0.067    0.2570    0.5967    0.5747
  1997.88709   -4.8416931479E-04     1.425    0.3077   -2.7399    0.6880
  1997.96923   -4.8416941611E-04     0.412    0.3403   -0.4743    0.7609
  1998.05205   -4.8416931366E-04     1.437    0.2846   -2.7652    0.6364
  1998.13418   -4.8416941088E-04     0.464    0.2753   -0.5912    0.6156
  1998.21632   -4.8416938257E-04     0.748    0.2932   -1.2243    0.6556
  1998.29845   -4.8416944476E-04     0.126    0.2843    0.1663    0.6357
  1998.38059   -4.8416944934E-04     0.080    0.2804    0.2687    0.6270
  1998.46273   -4.8416948470E-04    -0.274    0.2746    1.0594    0.6140
  1998.54486   -4.8416956419E-04    -1.069    0.2612    2.8368    0.5841
  1998.62700   -4.8416961419E-04    -1.569    0.2836    3.9550    0.6341
  1998.70913   -4.8416963950E-04    -1.822    0.2574    4.5210    0.5756
  1998.79127   -4.8416960871E-04    -1.514    0.2726    3.8325    0.6096
  1998.87340   -4.8416947963E-04    -0.223    0.3232    0.9460    0.7227
  1998.95554   -4.8416944590E-04     0.114    0.3308    0.1918    0.7397
  1999.03767   -4.8416939207E-04     0.653    0.3206   -1.0119    0.7169
  1999.12049   -4.8416941930E-04     0.380    0.2910   -0.4029    0.6507
  1999.20263   -4.8416933646E-04     1.209    0.2789   -2.2553    0.6236
  1999.28477   -4.8416946719E-04    -0.099    0.2743    0.6680    0.6134
  1999.36690   -4.8416946713E-04    -0.098    0.2703    0.6666    0.6044
  1999.44904   -4.8416937894E-04     0.784    0.2504   -1.3053    0.5599
  1999.53117   -4.8416958852E-04    -1.312    0.2437    3.3810    0.5449
  1999.61331   -4.8416963404E-04    -1.767    0.2686    4.3988    0.6006
  1999.69544   -4.8416952472E-04    -0.674    0.2621    1.9543    0.5861
  1999.77758   -4.8416961538E-04    -1.581    0.2435    3.9816    0.5445
  1999.85971   -4.8416952085E-04    -0.635    0.2235    1.8679    0.4998
  1999.94185   -4.8416952637E-04    -0.691    0.2504    1.9913    0.5599
  2000.02398   -4.8416934193E-04     1.154    0.3136   -2.1329    0.7012
  2000.10680   -4.8416938202E-04     0.753    0.2535   -1.2366    0.5668
  2000.18894   -4.8416941925E-04     0.381    0.2632   -0.4040    0.5885
  2000.27108   -4.8416942055E-04     0.368    0.2552   -0.3750    0.5706
  2000.35321   -4.8416949516E-04    -0.378    0.2385    1.2934    0.5333
  2000.43535   -4.8416946851E-04    -0.112    0.2133    0.6975    0.4770
  2000.51748   -4.8416956913E-04    -1.118    0.2299    2.9474    0.5141
  2000.59962   -4.8416962315E-04    -1.658    0.2171    4.1553    0.4855
  2000.68175   -4.8416949077E-04    -0.335    0.1894    1.1953    0.4235
  2000.76389   -4.8416960963E-04    -1.523    0.2195    3.8530    0.4908
  2000.84602   -4.8416946167E-04    -0.044    0.2486    0.5445    0.5559
  2000.92816   -4.8416943524E-04     0.221    0.2332   -0.0464    0.5215
  2001.01030   -4.8416934339E-04     1.139    0.2380   -2.1003    0.5322
  2001.09038   -4.8416931151E-04     1.458    0.2623   -2.8132    0.5865
  2001.17251   -4.8416942022E-04     0.371    0.2293   -0.3824    0.5127
  2001.25465   -4.8416939864E-04     0.587    0.2206   -0.8650    0.4933
  2001.33678   -4.8416943498E-04     0.223    0.2160   -0.0523    0.4830
  2001.41892   -4.8416937685E-04     0.805    0.2096   -1.3521    0.4687
  2001.50105   -4.8416955731E-04    -1.000    0.1899    2.6831    0.4246
  2001.58319   -4.8416967724E-04    -2.199    0.1995    5.3648    0.4461
  2001.66533   -4.8416958535E-04    -1.280    0.2044    3.3100    0.4571
  2001.74746   -4.8416957245E-04    -1.151    0.2010    3.0215    0.4494
  2001.82960   -4.8416954814E-04    -0.908    0.2362    2.4781    0.5282
  2001.91173   -4.8416935115E-04     1.062    0.2207   -1.9268    0.4935
  2002.04107   -4.8416938140E-04     0.759    0.3274   -1.6977    0.7321
  2002.12594   -4.8416947550E-04    -0.182    0.2493    0.4064    0.5574
  2002.20260   -4.8416938814E-04     0.692    0.2390   -1.5470    0.5344
  2002.28747   -4.8416933871E-04     1.186    0.3813   -2.6521    0.8527
  2002.36961   -4.8416928572E-04     1.716    0.3578   -3.8371    0.8002
  2002.45448   -4.8416942769E-04     0.296    0.2916   -0.6625    0.6520
  2002.53662   -4.8416957006E-04    -1.127    0.2970    2.5210    0.6642
  2002.62149   -4.8416960476E-04    -1.474    0.2415    3.2970    0.5400
  2002.70637   -4.8416955128E-04    -0.940    0.2523    2.1010    0.5642
  2002.78850   -4.8416940837E-04     0.490    0.2570   -1.0946    0.5747
  2002.87337   -4.8416944207E-04     0.152    0.2662   -0.3409    0.5953
  2002.95551   -4.8416938801E-04     0.693    0.3574   -1.5499    0.7991
  2003.04038   -4.8416935632E-04     1.010    0.2492   -2.2585    0.5573
  2003.12526   -4.8416933642E-04     1.209    0.2282   -2.7033    0.5102
  2003.20192   -4.8416933840E-04     1.189    0.1952   -2.6591    0.4364
  2003.28679   -4.8416940808E-04     0.492    0.2848   -1.1011    0.6369
  2003.36893   -4.8416942652E-04     0.308    0.2482   -0.6886    0.5551
  2003.45380   -4.8416938034E-04     0.770    0.3049   -1.7213    0.6818
  2003.53593   -4.8416959048E-04    -1.332    0.2983    2.9775    0.6671
  2003.62081   -4.8416961757E-04    -1.602    0.1956    3.5833    0.4374
  2003.70568   -4.8416955555E-04    -0.982    0.1950    2.1966    0.4360
  2003.78782   -4.8416956354E-04    -1.062    0.3095    2.3752    0.6921
  2003.87269   -4.8416943444E-04     0.229    0.3419   -0.5116    0.7646
  2003.95483   -4.8416937743E-04     0.799    0.2719   -1.7864    0.6080
  2004.03970   -4.8416935698E-04     1.003    0.2307   -2.2436    0.5159
  2004.12457   -4.8416935175E-04     1.056    0.2890   -2.3606    0.6462
  2004.20397   -4.8416941763E-04     0.397    0.2697   -0.8875    0.6031
  2004.28884   -4.8416943027E-04     0.271    0.2593   -0.6050    0.5798
  2004.37098   -4.8416945407E-04     0.032    0.2483   -0.0726    0.5553
